"id","unemployment_percentage","year","district_code"
"192","5.2618712121212121","2016",3308
"193","2.8699888888888889","2020",3610
"194","7.4128353658536585","2016",3706
"195","2.9325612745098039","2022",3408
"196","6.0539800995024876","2018",3801
"197","2.6810714285714286","2018",3504
"198","3.3877777777777778","2022",3809
"199","2.1411777777777778","2019",3610
"200","2.6858050847457627","2019",3505
"201","3.0741064257028112","2022",3212
"202","2.4223574561403509","2018",3401
"203","4.1466666666666667","2018",3702
"204","2.0060069444444444","2018",3207
"205","2.8899147727272727","2018",3205
"206","2.0458913043478261","2020",3611
"207","5.2355714285714286","2021",3507
"208","4.8321205962059621","2016",3707
"209","4.2625101626016260","2019",3706
"210","2.9539052287581699","2019",3410
"211","5.2936363636363636","2023",3503
"212","3.0184887005649718","2018",3810
"213","2.7793965517241379","2021",3609
"214","3.6299509803921569","2022",3410
"215","3.6585000000000000","2023",3610
"216","2.9527164502164502","2022",3806
"217","4.3602651515151515","2018",3503
"218","2.5259455128205128","2020",3602
"219","2.8750000000000000","2020",9999
"220","2.6894237588652482","2022",3404
"221","2.7047500000000000","2023",3712
"222","2.3792435897435897","2022",3306
"223","2.2533733974358974","2019",3602
"224","2.9274821746880570","2022",3703
"225","1.6654791666666667","2019",3402
"226","4.3050231481481481","2016",3802
"227","3.3821323529411765","2023",3408
"228","3.8090196078431373","2020",3410
"229","3.0449537037037037","2020",3804
"230","2.0458076923076923","2018",3306
"231","3.5891666666666667","2019",3702
"232","1.7484166666666667","2018",3402
"233","3.7952325581395349","2020",3208
"234","2.8405585106382979","2020",3404
"235","5.5239722222222222","2016",3204
"236","1.6410443037974684","2023",3210
"237","2.7475000000000000","2022",9999
"238","3.4640069444444444","2020",3211
"239","4.0993478260869565","2021",3510
"240","4.5934134615384615","2020",3502
"241","2.7121875000000000","2023",3602
"242","2.9400578703703704","2021",3802
"243","6.2917647058823529","2023",3803
"244","4.3119230769230769","2018",3502
"245","3.3038352272727273","2023",3205
"246","2.4344337606837607","2019",3605
"247","3.6812777777777778","2023",3204
"248","3.0396647509578544","2022",3714
"249","2.2998711340206186","2018",3709
"250","2.5842777777777778","2016",3405
"251","6.7186231884057971","2016",3510
"252","4.0640441176470588","2023",3509
"253","2.4775810185185185","2019",3802
"254","4.1281628787878788","2019",3503
"255","1.5694895833333333","2022",3607
"256","3.6200396825396825","2018",3808
"257","3.7227564102564103","2023",3605
"258","2.5525595238095238","2021",3307
"259","4.4867976190476190","2018",3507
"260","3.8868478260869565","2023",3510
"261","2.1525462962962963","2019",3603
"262","3.2868398268398268","2018",3806
"263","4.8567214912280702","2016",3401
"264","2.9922500000000000","2023",3402
"265","1.7609984984984985","2019",3604
"266","2.0359300595238095","2019",3606
"267","2.4456562500000000","2022",3712
"268","4.7168269230769231","2018",3508
"269","3.9202380952380952","2016",3705
"270","2.3209722222222222","2022",3207
"271","4.0717187500000000","2016",3712
"272","7.4065131578947368","2016",3409
"273","3.0049803921568627","2022",3202
"274","4.6033333333333333","2022",3706
"275","6.2900208333333333","2016",3211
"276","3.8831013745704467","2016",3709
"277","2.3481986531986532","2022",3406
"278","3.1025000000000000","2020",3810
"279","2.6722281639928699","2019",3703
"280","1.2288712121212121","2022",3209
"281","5.6828875968992248","2016",3208
"282","2.4712719298245614","2019",3501
"283","4.8823217468805704","2016",3703
"284","2.0142353951890034","2022",3709
"285","1.4852727272727273","2023",3209
"286","4.0723076923076923","2023",3809
"287","3.5883474576271186","2023",3505
"288","3.3168650793650794","2021",3506
"289","3.0696888888888889","2022",3610
"290","2.7851948051948052","2020",3806
"291","5.9535507246376812","2016",3206
"292","3.0163010204081633","2023",3805
"293","4.7383333333333333","2016",3307
"294","3.1237713675213675","2020",3605
"295","2.6982371794871795","2021",3602
"296","2.9212883141762452","2019",3714
"297","3.0818761140819964","2020",3703
"298","2.5370021645021645","2019",3806
"299","2.9836063218390805","2018",3701
"300","2.5968333333333333","2021",3305
"301","3.5999598393574297","2021",3212
"302","2.0404964539007092","2019",3404
"303","2.8997794117647059","2021",3408
"304","2.0435818713450292","2021",3201
"305","6.2984577114427861","2022",3801
"306","3.0643666666666667","2019",3203
"307","2.8397791164658635","2019",3212
"308","4.5592708333333333","2021",3403
"309","4.9333130081300813","2018",3706
"310","3.2703205128205128","2021",3807
"311","2.6646883468834688","2022",3707
"312","2.9140756704980843","2020",3714
"313","2.9053518518518519","2019",3204
"314","2.9004861111111111","2023",3603
"315","2.5336440677966102","2019",3810
"316","2.5788047138047138","2021",3406
"317","1.0096893939393939","2019",3209
"318","2.3239743589743590","2021",3306
"319","2.4422154471544715","2019",3707
"320","4.2864102564102564","2021",3508
"321","3.1242231638418079","2018",3505
"322","4.3843958333333333","2023",3211
"323","5.5875000000000000","2021",3811
"324","2.2161622807017544","2019",3401
"325","2.9718461538461538","2023",3306
"326","1.8642278287461774","2022",3301
"327","5.0146212121212121","2021",3503
"328","2.1727753623188406","2021",3611
"329","3.2562264150943396","2023",3303
"330","2.6638247863247863","2020",3711
"331","1.5321666666666667","2019",3405
"332","5.5902000000000000","2016",3203
"333","5.7131190476190476","2016",3808
"334","2.9383055555555556","2020",3601
"335","5.6004385964912281","2021",3409
"336","3.1859117647058824","2021",3202
"337","3.4499800399201597","2018",3710
"338","2.3222777777777778","2020",3405
"339","5.6430392156862745","2018",3803
"340","4.3950000000000000","2023",3409
"341","4.4322916666666667","2022",3502
"342","2.3717628205128205","2022",3602
"343","2.4345412844036697","2021",3301
"344","3.4325431034482759","2023",3609
"345","1.6202803030303030","2020",3209
"346","6.1483823529411765","2016",3410
"347","4.9872916666666667","2020",3503
"348","3.4634420289855072","2018",3510
"349","2.4291212121212121","2019",3308
"350","3.0488721264367816","2020",3701
"351","3.9475213675213675","2021",3809
"352","4.8601315789473684","2020",3409
"353","2.3530000000000000","2018",3610
"354","4.8614285714285714","2020",3507
"355","4.0056696428571429","2020",3403
"356","3.8029166666666667","2021",3509
"357","3.5428875968992248","2018",3208
"358","3.1557777777777778","2021",3610
"359","3.1861989795918367","2022",3407
"360","5.7879050925925926","2018",3713
"361","3.2530113636363636","2021",3205
"362","3.9425845410628019","2021",3206
"363","3.6907158119658120","2016",3605
"364","3.1659795321637427","2020",3501
"365","5.9513888888888889","2020",3811
"366","5.3383597883597884","2016",3704
"367","3.5179761904761905","2020",3704
"368","2.1586261261261261","2023",3604
"369","2.8201116071428571","2020",3307
"370","5.1493292682926829","2023",3706
"371","6.6098529411764706","2022",3803
"372","6.3376111111111111","2016",3506
"373","6.3313872255489022","2016",3710
"374","5.0141477272727273","2022",3503
"375","3.4969722222222222","2016",3304
"376","2.1734436274509804","2018",3408
"377","2.9392090395480226","2022",3810
"378","6.1999652777777778","2018",3811
"379","2.9744097222222222","2023",3802
"380","1.9006794871794872","2019",3306
"381","1.8540208333333333","2023",3304
"382","2.9981238859180036","2018",3703
"383","3.4375843881856540","2018",3708
"384","2.2960555555555556","2021",3405
"385","2.0468807339449541","2023",3301
"386","2.7424841269841270","2019",3506
"387","3.1635560344827586","2021",3701
"388","2.5428858024691358","2022",3804
"389","3.9830434782608696","2023",3206
"390","2.1416216216216216","2020",3604
"391","1.5736286919831224","2018",3210
"392","2.6368452380952381","2022",3805
"393","1.3762430555555556","2019",3304
"394","3.2265740740740741","2018",3204
"395","3.8304910714285714","2023",3403
"396","4.4298404255319149","2023",3302
"397","3.1400961538461538","2023",3711
"398","1.9484492753623188","2022",3611
"399","2.4682569444444444","2019",3601
"400","2.7570524691358025","2018",3804
"401","2.8009868421052632","2023",3401
"402","2.9611736111111111","2019",3211
"403","3.5988846153846154","2016",3306
"404","2.3807549019607843","2018",3202
"405","2.3491956521739130","2023",3611
"406","2.0988020833333333","2016",3607
"407","3.1237834224598930","2021",3703
"408","2.1964583333333333","2020",3207
"409","2.1559747023809524","2018",3606
"410","2.6139850427350427","2022",3711
"411","2.9268872549019608","2018",3509
"412","2.5189583333333333","2018",3712
"413","2.7728181818181818","2023",3308
"414","5.6783928571428571","2023",3507
"415","7.8686538461538462","2016",3508
"416","2.2250078616352201","2021",3303
"417","3.2105180180180180","2016",3604
"418","3.0525000000000000","2023",9999
"419","3.8322058823529412","2021",3410
"420","1.6543567251461988","2022",3201
"421","3.0556517094017094","2022",3605
"422","3.0991858237547893","2021",3714
"423","4.3732978723404255","2021",3302
"424","2.5229985119047619","2021",3606
"425","3.0904393939393939","2021",3308
"426","2.1843918918918919","2021",3604
"427","1.6492324561403509","2019",3201
"428","4.4650000000000000","2020",3702
"429","3.2162286324786325","2021",3605
"430","3.1338961038961039","2023",3806
"431","2.7691598915989160","2018",3707
"432","4.8050000000000000","2023",3702
"433","2.4943028846153846","2018",3602
"434","5.6737650602409639","2016",3212
"435","3.5282962962962963","2021",3204
"436","3.7329078014184397","2018",3302
"437","4.9141666666666667","2021",3702
"438","2.3341369047619048","2022",3606
"439","4.2729166666666667","2021",3203
"440","2.5643589743589744","2019",3807
"441","2.7843276515151515","2019",3205
"442","2.9601580459770115","2020",3609
"443","3.2360703363914373","2016",3301
"444","2.8137037037037037","2023",3804
"445","2.9915694444444444","2021",3601
"446","3.5459308510638298","2023",3404
"447","2.8703293413173653","2019",3710
"448","3.2608823529411765","2020",3509
"449","1.9041666666666667","2023",3405
"450","3.4195153061224490","2020",3407
"451","3.1829097222222222","2016",3207
"452","2.4783241758241758","2021",3705
"453","2.1834693877551020","2019",3805
"454","2.3677848101265823","2021",3210
"455","3.6602395209580838","2023",3710
"456","4.0338141025641026","2022",3508
"457","4.7705111111111111","2016",3610
"458","1.5841823899371069","2019",3303
"459","1.5356449275362319","2019",3611
"460","2.5007666666666667","2020",3305
"461","3.6814007092198582","2022",3302
"462","3.4420703125000000","2022",3608
"463","5.7619965277777778","2020",3713
"464","3.7158381226053640","2018",3714
"465","2.0538588588588589","2022",3604
"466","3.2330688622754491","2022",3710
"467","2.6354389880952381","2020",3606
"468","9.9150373134328358","2016",3801
"469","1.5003899082568807","2019",3301
"470","5.4150000000000000","2022",3811
"471","3.7621153846153846","2018",3809
"472","2.9174683544303797","2023",3708
"473","6.1318617021276596","2016",3302
"474","2.0956501831501832","2018",3705
"475","2.3206959706959707","2020",3705
"476","2.9189973262032086","2023",3703
"477","2.8618292682926829","2021",3707
"478","2.7815295358649789","2020",3708
"479","3.2983040935672515","2022",3501
"480","2.5230063291139241","2019",3708
"481","1.1482604166666667","2018",3607
"482","3.5942401960784314","2022",3509
"483","2.5355246913580247","2020",3603
"484","5.2609523809523810","2016",3805
"485","2.0357045454545455","2016",3209
"486","2.2036081560283688","2018",3404
"487","3.5163286163522013","2016",3303
"488","2.9435185185185185","2021",3804
"489","2.6256041666666667","2022",3402
"490","4.8632926829268293","2021",3706
"491","1.7710885885885886","2018",3604
"492","4.7495833333333333","2020",3706
"493","4.2594523809523810","2016",3504
"494","2.1270248538011696","2020",3201
"495","5.1129340277777778","2022",3713
"496","3.1935396825396825","2020",3506
"497","13.2862820512820513","2016",3807
"498","3.7346220930232558","2022",3208
"499","3.0966134751773050","2019",3302
"500","3.3305952380952381","2018",3506
"501","3.1883235294117647","2023",3202
"502","2.9261989795918367","2021",3805
"503","3.8518250000000000","2018",3203
"504","2.2401116838487973","2020",3709
"505","3.6104833333333333","2020",3203
"506","3.9921190476190476","2023",3506
"507","5.8929545454545455","2016",3806
"508","3.0622435897435897","2020",3807
"509","3.4688841807909605","2021",3810
"510","1.8027291666666667","2019",3207
"511","3.9882801418439716","2016",3404
"512","1.6010937500000000","2021",3607
"513","3.8699494949494949","2016",3406
"514","3.7799561403508772","2023",3501
"515","3.1226428571428571","2020",3504
"516","2.9153571428571429","2022",3504
"517","3.8571929824561404","2019",3409
"518","4.2495175438596491","2022",3409
"519","2.5417241379310345","2019",3701
"520","1.8281060606060606","2019",3406
"521","7.1934701492537313","2023",3801
"522","2.6629836309523810","2018",3307
"523","1.8403865979381443","2019",3709
"524","3.7589843750000000","2021",3608
"525","7.1473529411764706","2021",3803
"526","1.4535337552742616","2019",3210
"527","3.1181666666666667","2023",3601
"528","1.1545984848484848","2018",3209
"529","2.1329639175257732","2023",3709
"530","2.8953571428571429","2023",3307
"531","2.7913617886178862","2020",3707
"532","3.7221111111111111","2021",3211
"533","3.6202401129943503","2020",3505
"534","2.0586965811965812","2019",3711
"535","1.7201439393939394","2021",3209
"536","3.5763073852295409","2020",3710
"537","6.0193627450980392","2020",3803
"538","2.6131172839506173","2021",3603
"539","3.2717063492063492","2022",3506
