"district_code","person_count","year"
3706,"151096",2021
3207,"125931",2014
3704,"115049",2014
3603,"103266",2005
3704,"113171",2007
3211,"111680",2008
3702,"378327",2012
3609,"104000",2020
3502,"131975",2013
3207,"131042",2020
3210,"140208",2016
3710,"113590",2010
3804,"151577",2019
3706,"158445",2003
3304,"71977",2016
3206,"113100",2022
3711,"145403",2000
3603,"103813",2001
3701,"107912",2021
3710,"110393",2022
3705,"194110",2004
3308,"102587",2007
3506,"117941",2010
3605,"110240",2018
3804,"151814",2022
9999,"1188126",2006
3210,"146004",2018
3402,"92989",2011
3407,"71111",2005
3806,"176254",2018
3510,"119492",2014
3803,"246324",2019
3509,"126635",2002
3706,"157291",2006
3607,"78753",2006
3604,"79493",2016
3308,"102295",2016
3705,"192522",2018
3603,"104708",2020
3305,"71588",2020
3301,"194585",2018
3702,"381862",2000
3705,"192468",2017
3611,"138858",2007
3710,"110810",2019
3408,"45758",2001
3509,"129932",2010
3702,"367729",2004
3510,"121699",2010
3212,"53635",2007
3210,"91348",2004
3202,"77534",2004
3508,"116731",2003
3205,"74244",2014
3308,"103015",2009
3601,"94649",2015
3212,"52703",2005
3503,"125040",2006
3201,"97085",2015
3607,"79152",2010
3303,"92427",2011
3306,"51380",2001
3709,"107580",2021
3208,"100735",2019
3408,"46762",2007
3402,"92019",2014
3705,"195584",2002
3306,"51444",2022
3210,"151093",2021
3702,"370592",2008
3307,"69584",2003
3704,"115334",2015
3811,"36752",2021
3801,"99658",2002
3206,"95802",2005
3205,"73374",2001
3714,"118096",2016
3506,"119342",2016
3605,"112342",2009
3509,"130070",2008
3501,"103135",2018
3808,"134265",2005
3306,"51410",2002
3209,"103917",2000
3503,"124347",2017
3510,"117594",2003
3408,"47887",2014
3706,"153607",2020
3810,"144878",2006
3302,"60708",2005
3507,"86134",2006
3707,"112619",2015
3703,"208667",2012
3503,"125743",2007
3405,"189131",2016
3202,"91230",2016
3705,"193557",2006
3504,"91519",2012
3202,"81307",2007
3208,"91208",2009
3803,"242779",2020
3807,"323464",2016
3802,"214669",2022
3408,"47967",2015
3502,"127269",2022
3506,"119668",2019
3403,"110052",2021
3808,"126613",2021
3714,"119138",2003
9999,"1161938",2002
3603,"104613",2019
3405,"178064",2005
3408,"45579",2000
3504,"89754",2003
3803,"270412",2010
3402,"92843",2004
3501,"103152",2011
3202,"93726",2018
3701,"109136",2019
3301,"184256",2007
3207,"120779",2007
3409,"88212",2019
9999,"1212097",2007
3606,"163926",2007
3811,"39584",2014
3610,"120778",2008
3504,"89957",2000
3205,"73582",2000
3708,"106039",2016
3508,"116685",2004
3601,"94906",2003
3505,"168561",2008
3702,"368533",2007
3502,"130329",2017
3206,"100049",2008
3406,"69556",2018
3308,"103072",2000
3505,"179921",2022
3804,"151724",2014
3203,"165271",2018
3609,"104316",2017
3410,"53281",2017
3711,"141630",2020
3211,"110858",2007
3205,"74939",2009
3301,"180986",2005
3606,"175441",2019
3510,"119296",2016
3306,"50938",2013
3505,"173382",2016
3307,"70532",2020
3407,"78561",2017
3810,"145215",2004
3510,"117729",2004
3501,"103094",2017
3204,"89296",2001
3713,"113717",2016
3711,"142226",2019
3205,"75189",2017
3404,"87477",2003
3605,"112293",2005
3811,"38330",2018
3713,"116028",2022
3711,"143129",2013
3705,"196798",2000
3507,"86613",2012
3607,"79088",2018
3202,"96624",2021
3802,"211853",2011
3212,"54693",2008
3501,"102360",2000
3307,"70683",2015
3605,"109958",2019
3603,"103476",2006
3502,"133631",2002
3301,"188965",2013
3701,"106248",2008
3204,"97397",2012
3710,"114290",2002
3608,"71547",2021
3402,"91634",2019
3505,"175465",2020
3207,"117883",2006
3701,"104525",2005
3601,"94919",2005
3510,"119338",2019
3404,"87595",2002
3204,"95864",2010
3710,"113873",2005
3711,"144116",2002
3301,"187799",2010
3802,"210369",2007
3410,"53225",2009
3404,"88669",2008
3607,"78979",2017
3406,"67593",2009
3207,"122816",2010
3807,"340997",2002
3710,"111426",2017
3409,"94837",2000
3703,"189223",2005
3807,"324311",2015
3704,"116482",2020
3503,"126438",2009
3203,"159133",2011
3405,"184871",2011
3407,"69033",2000
3211,"114180",2015
3304,"73227",2008
3712,"89765",2012
3403,"118768",2001
3610,"120462",2007
3501,"103344",2022
3709,"110182",2010
3602,"160107",2005
3806,"176624",2006
9999,"1181126",2000
3205,"75683",2021
3406,"68613",2015
3210,"88190",2003
3810,"142180",2022
3711,"142306",2018
3401,"54572",2012
3306,"51030",2012
3714,"119218",2002
3503,"124744",2002
3806,"173753",2021
3701,"110046",2022
3409,"90258",2014
3710,"110337",2020
3601,"95679",2010
3509,"127627",2004
3704,"113479",2008
3308,"103898",2022
3206,"106516",2016
3611,"137671",2004
3407,"77478",2015
3610,"119562",2013
3407,"80666",2021
3502,"129831",2018
3808,"130931",2016
3714,"119366",2001
3208,"84800",2004
3212,"55258",2015
3305,"70119",2003
3803,"240319",2021
3701,"103867",2002
3602,"162689",2012
3205,"75828",2019
3301,"191945",2016
3210,"120990",2010
3709,"108646",2019
3607,"78926",2014
3403,"114374",2020
3301,"187304",2011
3811,"42014",2004
3508,"116728",2007
3810,"144969",2007
3604,"80134",2020
3404,"87781",2001
3202,"96403",2020
3504,"91651",2008
3608,"73123",2007
3608,"72996",2006
3410,"53394",2008
3210,"134351",2014
3509,"129202",2007
3806,"177940",2000
3209,"188939",2020
3608,"72480",2020
3206,"104148",2012
3804,"152524",2010
3609,"104999",2002
3803,"251370",2016
3201,"99323",2021
3509,"128464",2011
3302,"61556",2019
3703,"183721",2002
3407,"76673",2013
3205,"74237",2013
3802,"212100",2010
